event_code,name,location,country,url_event,url_invitation,entry_fee,currency,dt_start,dt_end,status,discrepancy_note
GP1-SPWS-2023-2024,,Pabianice,Polska,https://www.fencingtimelive.com/tournaments/eventSchedule/B3DA380CD665461DA7201E30A5652557#today,,100,zł,,,COMPLETED,
GP2-SPWS-2023-2024,,Toruń,Polska,https://fencingtimelive.com/tournaments/eventSchedule/4A559DB9F1984325A771A6255602D540#today,,100,zł,,,COMPLETED,
GP3-SPWS-2023-2024,,Niepołomice,Polska,https://www.fencingtimelive.com/tournaments/eventSchedule/A233DC1D44A44F6CBC3CF3E9D9BDFBFA#today,,100,zł,,,COMPLETED,
GP4-SPWS-2023-2024,,Opole,Polska,https://www.fencingtimelive.com/tournaments/eventSchedule/4E8236D593B64434A9EE99D9B5F7E65F#today,,100,zł,,,COMPLETED,
GP5-SPWS-2023-2024,,Gdańsk,Polska,https://fencingtimelive.com/tournaments/eventSchedule/B039D94D12F243B1961DEA9CAB298A40#today,,100,zł,,,COMPLETED,
GP6-SPWS-2023-2024,,Kraków,Polska,https://fencingtimelive.com/tournaments/eventSchedule/B039D94D12F243B1961DEA9CAB298A40#today,,100,zł,,,COMPLETED,
GP7-SPWS-2023-2024,,Spała,Polska,https://fencingtimelive.com/tournaments/eventSchedule/7C79727B5303462D86F5E810E3BFD516#today,,100,zł,,,COMPLETED,
GP8-SPWS-2023-2024,,Świdnica,Polska,https://fencingtimelive.com/tournaments/eventSchedule/7C79727B5303462D86F5E810E3BFD516#today,,100,zł,,,COMPLETED,
MPW-SPWS-2023-2024,,Warszawa,Polska,,,100,zł,,,COMPLETED,
PEW1-SPWS-2023-2024,,Guilford,Great Britain,https://fencingtimelive.com/tournaments/eventSchedule/A49E0E562CE6460B82AACFD5C909F0BE#today,,,,,,COMPLETED,
PEW9-SPWS-2023-2024,,Guildford,Great Britain,https://fencingtimelive.com/tournaments/eventSchedule/1B776AA923B64D3FA61AB02233AF54BD#today,,,,,,COMPLETED,
PPW1-SPWS-2024-2025,I Puchar Polski Weteranów,Konin,Polska,,https://weteraniszermierki.pl/i-puchar-pokski-weteranow-sezon-2024-2025-serdecznie-zapraszamy-na-pierwszy-puchar-polski-weteranow/,,,2024-09-28,2024-09-29,COMPLETED,
PPW2-SPWS-2024-2025,II Puchar Polski Weteranów,Bytom,Polska,,https://weteraniszermierki.pl/ii-puchar-polski-weteranow-bytom-2024/,,,2024-10-26,2024-10-27,COMPLETED,
PPW3-SPWS-2024-2025,III Puchar Polski Weteranów,Kraków,Polska,,https://weteraniszermierki.pl/iii-puchar-polski-weteranow-krakow-2024/,,,2024-11-30,2024-12-01,COMPLETED,
PPW4-SPWS-2024-2025,IV Puchar Polski Weteranów - Memoriał Gen. Jerzego Zabielskiego,Warszawa,Polska,,https://weteraniszermierki.pl/iv-puchar-polski-weteranow-memorial-gen-jerzego-zabielskiego/,,,2025-02-22,2025-02-23,COMPLETED,
PPW5-SPWS-2024-2025,V Puchar Polski Weteranów,Szczecin,Polska,,https://weteraniszermierki.pl/wp-content/uploads/2025/03/KOMUNIKAT-2-V-PP-SZCZECIN-2025_1.pdf,,,2025-04-26,2025-04-27,COMPLETED,
MPW-SPWS-2024-2025,XXXIV Indywidualne Mistrzostwa Polski Weteranów,Pabianice,Polska,,https://weteraniszermierki.pl/xxxiv-indywidualne-mistrzostwa-polski-weteranow-lodz-2025/,,,2025-06-07,2025-06-08,COMPLETED,
IMEW-SPWS-2024-2025,European Veterans Championships 2025,Plovdiv,Bulgaria,,https://www.veteransfencing.eu/wp-content/uploads/2025/04/invitation-ECH.pdf,,,2025-05-28,2025-06-01,COMPLETED,
PEW3-SPWS-2024-2025,,Guilford,Great Britain,https://fencingtimelive.com/tournaments/eventSchedule/9CC8D1BC59084DC0852659F9B68D97DB#today,,,,,,COMPLETED,
PPW1-SPWS-2025-2026,I Puchar Polski Weteranów,Opole,Polska,,https://weteraniszermierki.pl/zaproszenie-na-i-puchar-polski-weteranow-szermierki-opole-2025/,250,zł,2025-09-27,2025-09-28,COMPLETED,
PPW2-SPWS-2025-2026,II Puchar Polski Weteranów,Poznań,Polska,https://fencingtimelive.com/tournaments/eventSchedule/BC4FAB2F4A5E466DAA8FC46EB73E50F6#today,https://weteraniszermierki.pl/wp-content/uploads/2025/10/Komunikat-zawodow-Poznan-2.pdf,250,zł,2025-10-25,2025-10-26,COMPLETED,
PPW3-SPWS-2025-2026,III Puchar Polski Weteranów / Warsaw Epee Open,Warszawa-Łomianki,Polska,https://fencingtimelive.com/tournaments/eventSchedule/D099355BC4334343949BD91172023B49#today,https://weteraniszermierki.pl/zaproszenie-na-iii-puchar-polski-weteranow-szermierki-warsaw-epee-open-2025/,250,zł,2025-12-13,2025-12-14,COMPLETED,
PPW4-SPWS-2025-2026,IV Puchar Polski Weteranów,Gdańsk,Polska,https://fencingtimelive.com/tournaments/eventSchedule/E2A7B077F2824DD8A7F2E413B4211296#today,https://weteraniszermierki.pl/zaproszenie-na-iv-puchar-polski-weteranow-szermierki-gdansk-2026/,250,zł,2026-02-21,2026-02-22,COMPLETED,
PPW5-SPWS-2025-2026,V Puchar Polski Weteranów,Gdańsk,Polska,,https://weteraniszermierki.pl/wp-content/uploads/2026/03/Komunikat-organizacyjny-V-Pucharu-Polski-Weteranow-Szermierki_Gdansk_11_kwietnia_2026.pdf,250,zł,2026-04-11,2026-04-11,PLANNED,
MPW-SPWS-2025-2026,,Warszawa,Polska,,,250,zł,2026-06-27,2026-06-28,PLANNED,
PEW1-SPWS-2025-2026,EVF Circuit Budapest,Budapest,Hungary,https://engarde-service.com/tournament/hunfencing/2025_09_20_pbt,https://www.veteransfencing.eu/wp-content/uploads/2025/08/International-Veteran-Budapest-Cup-event-2025-september-ENG.pdf,,,2025-09-20,2025-09-21,COMPLETED,
PEW2-SPWS-2025-2026,EVF Circuit Madrid,Madrid,Spain,https://engarde-service.com/tournament/aeve_esgrima/evf_madrid_2025,https://www.veteransfencing.eu/wp-content/uploads/2025/10/EVF-Circuit-Madrid-2025.pdf,,,2025-11-01,2025-11-02,COMPLETED,
PEW3-SPWS-2025-2026,EVF Circuit Guildford,Guildford,Great Britain,https://fencingtimelive.com/tournaments/eventSchedule/E2A7B077F2824DD8A7F2E413B4211296#today,https://www.veteransfencing.eu/wp-content/uploads/2025/10/EVf-Guildford-2026-invitation-letter.pdf,,,2026-01-10,2026-01-11,COMPLETED,
